Label,QualifiedApiName
Account(s) Have SLMS,Accounts_Have_SLMS__c
Sales Territory Owner,Territory_Owner__c
Merchant Services - DBA Name,Merchant_Services_DBA_Name__c
Headquartered Number,Headquartered_Number__c
Buyer Account,Buyer_Account__c
# of Techs across all Locations,of_Techs_across_all_Locations__c
Marine Blockers,Marine_Blockers__c
Annual Ship Store Revenue,Annual_Ship_Store_Revenue__c
NDA Signed,NDA_Signed__c
Sales Territory,SalesTerritory__c
# House Boats : Club,House_Boats_Club__c
Account-CSM/PM,Child_Account_CSM_PM__c
Account Director of CS,Child_Account_Director_of_CS__c
dL CallPotential Avg Rev Per Month,dL_CallPotential_Avg_Rev_Per_Month__c
IMS Club Locations,IMS_Club_Locations__c
Marketplace Category,Marketplace_Category__c
Headquarter Type,Headquarter_Type__c
Discontinued Date,Discontinued_Date__c
# of Locations - Sales,of_Locations_Sales__c
Sales Territory Owner,SalesTerritoryOwnerFormula__c
IMS Rentals Locations,IMS_Rentals_Locations__c
Configuration,Configuration__c
Subscriptions,Product_Families__c
URL,account_url_ms__c
Has Merchant Opportunity,Has_Merchant_Opportunity__c
Account Roll up summary,Account_Roll_up_summary__c
# Lodging : Club,Lodging_Club__c
Open MS Opportunities on this Account Re,OpenMSOpportunities__c
MMS Locations,MMS_Locations__c
# of Open SF Demand Opportunities,of_SF_Open_Demand_Opportunities__c
Open Software/MS Opportunities on this A,ofOpenMSSoftwareOpptys__c
Open Software/MS Opportunities in Child,OpenMSSoftwareOpptysonParent__c
Open MS Opportunities in Child Hierarchy,OpenMSOpportunitiesonparent__c
2019 Rate increase Notification sent?,X2019RateincreaseNotificationsent__c
# Dedicated Space Indoor/Outdoor Storage,Num_Dedicated_Space_IndoorOutdoorStorage__c
# Linear Dockage/Moorage,Num_Linear_Dockage_Moorage__c
storEDGE Salesforce ID,storEDGE_Salesforce_ID__c
Original Salesforce Instance,Original_Salesforce_Instance__c
x -- Segment,sfcloud__Segment__c
Account ID (18 Digit),X18digitAccountId__c
Ultimate Parent Account,UltimateParentName__c
Ultimate Parent ID (15 Digit),UltimateParentId__c
Ultimate Parent,UltimateParent__c
Segment,Segment__c
Ultimate Parent Name,Ultimate_Parent_Name_Plain_Text__c
Non-Solicit for SLMS,Potentially_SMS__c
ChargeOver ID,ChargeOver_ID__c
# of Units,ofUnits__c
Pricing Notes,Special_Payment_Terms__c
Count of Child Accounts,CountofChildAccounts__c
Parent,ParentAccountcheckbox__c
License Transferred From,LicenseTransferredFrom__c
X-# of Professional services- Child Acct,ofProfessionalservicesChildAcct__c
X# of Properties - Professional Services,ofFacilitiesProfessionalServices__c
# Non-Powered : Club,Num_Non_Powered_Club__c
dL Cross-sell Opportunity Monthly Rev,dL_CrossSell_Opportunity_Monthly_Revenue__c
# of Onboarding Club Units (License Fee),of_Onboarding_Club_Units_License_Fee__c
# of Onboarding Marina Units License Fee,of_Onboarding_Marina_Units_License_Fee__c
